player_id,date_of_birth,city_of_birth,state_of_birth
23681,"March 23, 1966",Philadelphia,Pennsylvania
23687,"January 8, 1967",Greenville,South Carolina
23808,"October 6, 1964",Lansing,Michigan
23872,"November 9, 1963",Tulsa,Oklahoma
23912,"July 31, 1965",French Camp,California
23946,"April 25, 1965",Glen Ridge,New Jersey
23970,"March 11, 1966",Inglewood,California
24030,"April 5, 1964",Everett,Washington
24033,"October 5, 1967",Bowling Green,Kentucky
24037,"July 3, 1967",New York,New York
24181,"June 8, 1963",Chesapeake,Virginia
24181,"April 26, 1973",Chesapeake,Virginia
24209,"January 24, 1966",Mobile,Alabama
24279,"November 24, 1966",Baton Rouge,Louisiana
24298,"October 30, 1965",Cleveland Heights,Ohio
24319,"December 6, 1966",Rosemead,California
24360,"May 24, 1964",Curtiba,Brazil
24361,"February 28, 1965",Baltimore,Maryland
24405,"December 7, 1964",Los Angeles,California
24417,"June 1, 1965",Los Angeles,California
24439,"July 7, 1966",West Warwick,Rhode Island
24467,"September 19, 1965",Detroit,Michigan
24495,"May 5, 1965",Montgomery,Alabama
24500,"July 9, 1964",Los Angeles,California
24504,"April 21, 1965",Canton,Ohio
24506,"July 4, 1965",Augusta,Georgia
24518,"July 8, 1967",Millington,Tennessee
24519,"December 17, 1965",Flint,Michigan
24560,"January 27, 1964",Long Beach,California
24626,"September 29, 1966",Chicago,Illinois
24702,"January 19, 1966",LaRomana,Dominican Republic
24821,"March 25, 1965",New Orleans,Louisiana
24867,"March 18, 1966",Detroit,Michigan
24895,"April 6, 1966",Copaigue,New York
24929,"September 27, 1965",Beirut,Lebanon
24933,"April 19, 1966",Collins,Mississippi
24999,"December 4, 1966",Akron,Ohio
25000,"June 28, 1966",Pine Bluff,Arkansas
25022,"May 27, 1966",Inglewood,California
25037,"August 18, 1963",Niles,Illinois
25062,"May 22, 1966",Reedley,California
25068,"March 12, 1966",Wayne,Michigan
25110,"September 9, 1965",Traverse City,Michigan
25117,"May 17, 1966",Hattiesburg,Mississippi
25156,"September 12, 1965",Gainesville,Florida
25265,"July 26, 1966",Toledo,Ohio
25291,"January 20, 1966",Atlanta,Georgia
25304,"February 2, 1966",San Francisco,California
25356,"February 16, 1964",Muncie,Indiana
25432,"October 25, 1963",Albonito,Puerto Rico
25492,"August 29, 1965",Melbourne,Florida
25498,"June 4, 1965",Freehold,New Jersey
25536,"May 17, 1964",Kingston,Pennsylvania
25554,"May 30, 1964",Washington,District of Columbia
25632,"June 3, 1966",Carolina,Puerto Rico
25634,"January 20, 1965",Jersey City,New Jersey
25674,"December 27, 1964",Rochester,New York
25680,"January 4, 1961",Long Island,New York
25749,"May 10, 1965",Beirut,Lebanon
25759,"April 22, 1966",Kinston,North Carolina
25763,"July 31, 1964",Birmingham,Michigan
25764,"March 22, 1966",Oakland,California
25805,"September 21, 1964",Baton Rouge,Louisiana
25809,"July 16, 1965",Bridgeport,Connecticut
25809,"November 29, 1967",Bridgeport,Connecticut
25809,"August 22, 1975",Bridgeport,Connecticut
25844,"August 23, 1966",Eindhoven,Netherlands
25866,"August 10, 1965",Tulsa,Oklahoma
25871,"October 21, 1966",Evanston,Illinois
25900,"July 11, 1966",Jacksonville,Florida
25908,"November 11, 1965",Brooklyn,Illinois
25930,"November 30, 1965",Los Angeles,California
26000,"October 16, 1965",Long Beach,California
26042,"January 24, 1963",Chicago,Illinois
