,Player,Career Start,Career End,Col Games Played,Col MP,Col FG,Col FGA,Col 2P,Col 2PA,Col 3P,Col 3PA,Col FT,Col FTA,Col ORB,Col DRB,Col TRB,Col AST,Col STL,Col BLK,Col TOV,Col PTS,player_id
176,Jae Crowder,2011,2012,35,1153,217,436,156,259,61,177,119,162,70,224,294,73,88,35,44,614,9949
177,Jahlil Okafor,2014,2015,38,1143,279,420,279,420,0,0,99,194,134,188,322,49,29,54,95,657,12134
178,Jakob Poeltl,2015,2016,36,1093,228,353,228,353,0,0,164,238,102,225,327,70,21,56,74,620,12322
179,Jamaal Franklin,2011,2013,64,2027,338,801,247,497,91,304,331,419,113,443,556,152,82,46,205,1098,10407
180,Jamal Murray,2015,2016,36,1267,244,538,131,261,113,277,119,152,53,133,186,79,35,11,84,720,11984
181,Jameer Nelson,2002,2004,62,2133,428,937,291,561,137,376,257,329,72,232,304,312,155,7,178,1250,12034
182,Jamel Artis,2016,2017,32,1097,196,413,122,224,74,189,116,158,40,116,156,106,13,9,83,582,9237
183,James Anderson,2008,2010,68,2295,435,928,277,505,158,423,345,422,140,250,390,128,86,44,147,1373,9187
184,James Ennis,2012,2013,33,1093,182,371,127,217,55,154,126,151,65,156,221,70,58,43,99,545,10270
185,James Harden,2007,2009,69,2412,417,824,315,553,102,271,373,494,92,282,374,258,132,30,207,1309,10728
186,James Young,2013,2014,40,1296,183,450,101,215,82,235,125,177,41,130,171,67,30,8,75,573,13621
187,JamesOn Curry,2006,2007,35,1295,202,447,114,233,88,214,115,145,15,96,111,131,41,11,109,607,9966
188,Jared Cunningham,2011,2012,36,1245,198,440,148,292,50,148,199,270,36,102,138,101,91,15,102,645,9957
189,Jared Dudley,2005,2007,66,2492,393,748,321,566,72,182,313,432,187,300,487,205,83,22,148,1171,10167
190,Jared Jeffries,2001,2002,36,1175,189,414,162,343,27,71,134,201,91,182,273,74,54,46,102,539,11074
191,Jared Sullinger,2010,2012,74,2295,450,849,431,797,19,52,363,495,247,470,717,89,80,59,130,1282,12996
192,Jarell Martin,2014,2015,33,1159,202,397,188,345,14,52,140,203,98,207,305,59,38,23,92,558,11658
193,Jarnell Stokes,2013,2014,37,1199,199,375,199,375,0,0,160,230,155,237,392,75,26,34,77,558,12968
194,Jarrod Uthoff,2015,2016,33,1016,218,487,152,314,66,173,122,150,48,161,209,36,32,86,38,624,13210
195,Jarvis Hayes,2001,2002,29,980,212,470,163,320,49,150,65,85,35,117,152,45,34,14,60,538,10797
196,Jason Kapono,2000,2001,32,1122,167,379,83,195,84,184,133,153,54,129,183,72,38,4,81,551,11239
197,Jason Thompson,2006,2008,65,2234,496,916,479,860,17,56,309,472,206,518,724,158,59,158,192,1318,13105
198,Jawun Evans,2016,2017,32,936,211,482,175,387,36,95,155,191,24,86,110,204,57,4,90,613,10284
199,Jay Williams,2000,2002,74,2415,534,1148,294,557,240,591,279,418,58,194,252,424,154,8,285,1587,13483
200,Jeff Teague,2008,2009,31,991,180,371,135,269,45,102,179,219,15,87,102,110,58,20,104,584,13052
201,Jeffery Taylor,2011,2012,36,1157,210,426,144,270,66,156,95,157,77,123,200,62,46,16,79,581,13041
202,Jerel McNeal,2008,2009,35,1226,236,534,150,318,86,216,135,183,28,131,159,137,71,21,103,693,11791
203,Jeremy Lamb,2011,2012,34,1266,217,454,146,243,71,211,98,121,32,134,166,58,42,21,68,603,11408
204,Jerian Grant,2014,2015,38,1408,204,427,154,269,50,158,170,218,13,102,115,253,63,19,82,628,10584
205,Jermaine Taylor,2007,2009,62,2026,522,1107,351,647,171,460,243,302,112,196,308,110,74,33,165,1458,13042
206,Jerome Dyson,2009,2010,34,1143,195,499,155,362,40,137,156,218,33,113,146,144,44,21,132,586,10196
207,Jerome Jordan,2009,2010,35,1043,184,335,184,335,0,0,172,250,84,233,317,44,16,82,79,540,11216
208,Jerrelle Benimon,2013,2014,36,1307,225,425,211,381,14,44,209,293,84,320,404,130,25,44,124,673,9387
209,Jerryd Bayless,2007,2008,30,1072,173,378,114,233,59,145,187,223,13,69,82,121,29,3,89,592,9346
210,Jimmer Fredette,2009,2011,71,2382,571,1256,370,768,201,488,476,533,49,183,232,319,90,6,224,1819,10414
211,Jimmy Butler,2010,2011,37,1282,187,382,167,324,20,58,188,240,90,135,225,86,53,13,54,582,9678
212,Joakim Noah,2005,2006,39,972,202,322,202,321,0,1,148,202,85,193,278,80,44,95,76,552,12066
213,Jodie Meeks,2008,2009,36,1237,263,568,146,280,117,288,211,234,19,103,122,63,48,5,96,854,11806
214,Joe Alexander,2007,2008,36,1137,219,474,208,433,11,41,158,194,68,163,231,88,26,54,80,607,9147
215,Joe Crawford,2007,2008,30,1009,188,401,125,228,63,173,99,130,31,78,109,64,17,5,83,538,9926
216,Joe Crispin,2000,2001,33,1121,195,523,87,220,108,303,144,165,15,103,118,110,47,5,96,642,9931
217,Joe Harris,2012,2013,35,1139,191,408,114,227,77,181,111,150,30,111,141,76,31,17,70,570,10759
218,Joe Young,2012,2015,102,3429,656,1425,423,830,233,595,419,470,63,305,368,280,104,2,167,1964,13622
219,Joel Bolomboy,2015,2016,33,1041,193,337,173,282,20,55,159,228,109,306,415,35,23,40,78,565,9471
220,Joey Graham,2004,2005,33,1009,201,380,175,325,26,55,157,177,53,151,204,67,30,5,88,585,10567
221,John Brown,2013,2016,91,2811,678,1203,677,1191,1,12,412,561,297,333,630,161,134,133,150,1769,9599
222,John Collins,2016,2017,33,878,234,376,234,375,0,1,164,220,124,200,324,17,21,52,60,632,9850
223,John Holland,2008,2011,99,3423,603,1393,387,793,216,600,448,536,170,406,576,123,156,31,197,1870,10900
224,John Jenkins,2010,2012,67,2282,407,869,173,319,234,550,272,314,33,163,196,81,53,22,107,1320,11077
225,John Lucas,2004,2005,33,1192,204,452,104,220,100,232,76,84,19,63,82,135,36,1,53,584,11558
226,John Wall,2009,2010,37,1288,202,438,165,324,37,114,175,232,30,129,159,241,66,19,149,616,13294
227,Johnathan Motley,2016,2017,34,1036,226,434,217,401,9,33,128,183,126,209,335,79,12,37,100,589,11952
228,Jon Brockman,2007,2008,32,1009,237,442,237,442,0,0,94,181,141,229,370,35,21,8,76,568,9569
229,Jon Leuer,2010,2011,34,1139,227,483,173,337,54,146,113,134,57,189,246,56,17,30,54,621,11486
230,Jonathan Gibson,2009,2010,34,1109,197,441,91,180,106,261,95,112,17,81,98,95,47,2,73,595,10510
231,Jonny Flynn,2007,2009,73,2661,410,892,309,589,101,303,290,371,44,154,198,439,107,12,224,1211,10362
232,Jordan Adams,2013,2014,36,1082,208,429,156,283,52,146,158,189,67,125,192,84,95,5,54,626,9120
233,Jordan Clarkson,2013,2014,35,1228,209,467,177,353,32,114,162,195,28,106,134,118,38,6,93,612,9816
234,Jordan Crawford,2009,2010,35,1147,260,563,181,361,79,202,119,154,34,132,166,101,47,7,85,718,9927
