year,round,pick,player,position,school,last name,first name
1988,2,31,Everette Stephens,G,Purdue,Stephens,Everette
1988,2,32,Charles Shackleford,F/C,NC State,Shackleford,Charles
1988,2,33,Grant Long,F,Eastern Michigan,Long,Grant
1988,2,34,Tom Tolbert,F/C,Arizona,Tolbert,Tom
1988,2,35,Sylvester Gray,F,Memphis State,Gray,Sylvester
1988,2,36,Ledell Eackles,G/F,New Orleans,Eackles,Ledell
1988,2,37,Greg Butler,C,Stanford,Butler,Greg
1988,2,38,Dean Garrett,C,Indiana,Garrett,Dean
1988,2,39,Tito Horford,C,Miami (FL),Horford,Tito
1988,2,40,Orlando Graham,F,Auburn-Montgomery,Graham,Orlando
1988,2,41,Keith Smart,G,Indiana,Smart,Keith
1988,2,42,Jeff Moe,SG,Iowa,Moe,Jeff
1988,2,43,Todd Mitchell,F,Purdue,Mitchell,Todd
1988,2,44,Anthony Taylor,G,Oregon,Taylor,Anthony
1988,2,45,Tom Garrick,G,Rhode Island,Garrick,Tom
1988,2,46,Morlon Wiley,G,Long Beach State,Wiley,Morlon
1988,2,47,Vernon Maxwell,SG,Florida,Maxwell,Vernon
1988,2,48,Micheal Williams,G,Baylor,Williams,Micheal
1988,2,49,Jos̩ Vargas,C/PF,LSU,Vargas,Jos̩
1988,2,50,Steve Kerr,PG,Arizona,Kerr,Steve
